chrom	start	end	chunk_start	chunk_end	vcf_prefix	output_bcf	output_bcf_idx	output_vep	output_vep_idx
chr18_chunk25	69997737	70004143	69997737	72996536	ukb24310_c18_b3500_v1.chunk1	file-J1j3zb8JBvy2j5k8fB7XQbjp	file-J1j3zfQJBvy0gX47Z59G4KFX	file-J1j3zfjJBvy7JZ8ppp3GYY2V	file-J1j3zg0JBvy2j5k8fB7XQbk1
chr18_chunk25	70004145	70010446	69997737	72996536	ukb24310_c18_b3500_v1.chunk2	file-J1j4098JBvy0yBP5g4KQybJb	file-J1j40BQJBvy1JJ7GgqVVv3B7	file-J1j40BjJBvy9ZQqJ8QKfGVpP	file-J1j40F0JBvyP6f6ZGfxgV129
chr18_chunk25	70010455	70017725	69997737	72996536	ukb24310_c18_b3500_v1.chunk3	file-J1j4520JBvy465v4vy5xFgKQ	file-J1j453QJBvy1JpfF1KBGfBQP	file-J1j453jJBvy1JpfF1KBGfBQV	file-J1j4540JBvyKVzQXGBYBfv0Q
chr18_chunk25	70017731	70024565	69997737	72996536	ukb24310_c18_b3501_v1.chunk1	file-J1j3z8QJBvy2j5k8fB7XQbfz	file-J1j3z9jJBvyFG8zbJkgQ1Pj5	file-J1j3zB0JBvy0gX47Z59G4K9k	file-J1j3zB8JBvy0yBP5g4KQybBX
chr18_chunk25	70024567	70031242	69997737	72996536	ukb24310_c18_b3501_v1.chunk2	file-J1j3z38JBvy4gFVX7K55XqQJ	file-J1j3z5QJBvy0yBP5g4KQybB2	file-J1j3z5jJBvy90YpkjQ90pfVZ	file-J1j3z60JBvy2j5k8fB7XQbfV
chr18_chunk25	70031250	70037715	69997737	72996536	ukb24310_c18_b3501_v1.chunk3	file-J1j3Q3jJvb97P1PkZJkKBKZX	file-J1j3Q70Jvb943pVbf4YXgBJZ	file-J1j3Q78Jvb9GfqX64YYVQ0gx	file-J1j3Q7jJvb9B6495QQVQfb8Q
chr18_chunk25	70037721	70043903	69997737	72996536	ukb24310_c18_b3502_v1.chunk1	file-J1j3QGjJvb9KVzQXGBYBfk3b	file-J1j3QK8Jvb94pY8fJ1pVK2PP	file-J1j3QKQJvb9P9g82XgJ808z6	file-J1j3QKjJvb90gX47Z59G4GVz
chr18_chunk25	70043904	70050798	69997737	72996536	ukb24310_c18_b3502_v1.chunk2	file-J1j3PP0Jvb90yBP5g4KQyXj0	file-J1j3PQQJvb95fpBZJQkFX1V4	file-J1j3PQjJvb9GfqX64YYVQ0bV	file-J1j3PQjJvb96vp0JypxfYz0J
chr18_chunk25	70050805	70057712	69997737	72996536	ukb24310_c18_b3502_v1.chunk3	file-J1j3QKQJvb94p2xBzX9Jk4VQ	file-J1j3QPjJvb94p2xBzX9Jk4Vg	file-J1j3QQ0Jvb95fpBZJQkFX1Y7	file-J1j3QQ8Jvb93J21KGzyfBgkY
chr18_chunk25	70057713	70064154	69997737	72996536	ukb24310_c18_b3503_v1.chunk1	file-J1j3Q08Jvb91B69BgBFQgG36	file-J1j3Q28Jvb96x3fK3XFp88Kk	file-J1j3Q2QJvb9756ZFXjx7X6jY	file-J1j3Q2jJvb90gX47Z59G4GVK
