chrom	start	end	chunk_start	chunk_end	vcf_prefix	output_bcf	output_bcf_idx	output_vep	output_vep_idx
chr18_chunk24	67039030	67044958	67039030	69997734	ukb24310_c18_b3352_v1.chunk1	file-J1gGP6jJjbjYFqGX25Bf8jX8	file-J1gGP80JjbjV1p9k4Y0BQ3Q9	file-J1gGP88JjbjZfQJGb5v6xVv8	file-J1gGP8jJjbjpvP8z61yP4JP7
chr18_chunk24	67044960	67050572	67039030	69997734	ukb24310_c18_b3352_v1.chunk2	file-J1gGQ10JjbjfBk66qv9qJVgx	file-J1gGQ28JjbjQp4yy6jqx1960	file-J1gGQ2QJjbjQp4yy6jqx1962	file-J1gGQ2jJjbjyXBkpyjFjyvGB
chr18_chunk24	67050573	67059027	67039030	69997734	ukb24310_c18_b3352_v1.chunk3	file-J1jbf4QJG7Q1vKFJy9qqF327	file-J1jbf68JG7Q9ZQqJ8QKgjj08	file-J1jbf6QJG7QP6f6ZGfxjfF19	file-J1jbf6jJG7Q9ZQqJ8QKgjj0B
chr18_chunk24	67059035	67065687	67039030	69997734	ukb24310_c18_b3353_v1.chunk1	file-J1gKz98JYQyBgzJQYzvFBQ8k	file-J1gKzBjJYQy9g19fQpzkYpvZ	file-J1gKzF0JYQyP9fP7xJv7VjZx	file-J1gKzF8JYQy9g19fQpzkYpvf
chr18_chunk24	67065689	67071739	67039030	69997734	ukb24310_c18_b3353_v1.chunk2	file-J1gP0G8JYQy8fgYJj8j7YX21	file-J1gP0JjJYQy3FvVbVGFfZgkK	file-J1gP0K0JYQy4zJv662fZ2VQb	file-J1gP0K8JYQy3FvVbVGFfZgkQ
chr18_chunk24	67071743	67079025	67039030	69997734	ukb24310_c18_b3353_v1.chunk3	file-J1jf65jJvBV3FqGX25BpzxjX	file-J1jf67jJvBVKXBkpyjFvx2XV	file-J1jf67jJvBV12yZ2qpZ11qPj	file-J1jf680JvBV5p5Z51GqJ8BBx
chr18_chunk24	67079029	67085154	67039030	69997734	ukb24310_c18_b3354_v1.chunk1	file-J1jbYG8JG7Q6bzkGxJYPFKz3	file-J1jbYJjJG7QFvjJZF7bf1vfX	file-J1jbYK0JG7Q11p9k4Y0Kp301	file-J1jbYK0JG7Q0Q51172q90jxY
chr18_chunk24	67085155	67091015	67039030	69997734	ukb24310_c18_b3354_v1.chunk2	file-J1jbYvjJG7Q0Q51172q90jyp	file-J1jbYy8JG7QFFGk0Zg4q2QBf	file-J1jbYy8JG7QFbKV0pZXBZZ96	file-J1jbYyQJG7Q91FXzxGv3kgkq
chr18_chunk24	67091016	67099028	67039030	69997734	ukb24310_c18_b3354_v1.chunk3	file-J1jbg6jJG7QJqz51JkXQ17qf	file-J1jbg8QJG7Q6jQV0q3FX6XbJ	file-J1jbg8jJG7Q22q71kyg5Yj84	file-J1jbg8jJG7QK7kPZ6vz47X7K
chr18_chunk24	67099029	67104892	67039030	69997734	ukb24310_c18_b3355_v1.chunk1	file-J1jbX8QJG7Q2vQ8Jb54Fv67X	file-J1jbXBQJG7Q7VJGkjZ4jfvYF	file-J1jbXBjJG7QGjbXfFvv8b8KV	file-J1jbXF0JG7Q9bvGgYx7VZfb6
